LSOA11CD,Population,Age_0_15,Age_16_64,Age_65_plus
E01031349,1345,222,780,343
E01031350,1195,230,757,208
E01031351,1590,290,932,368
E01031352,1551,267,899,385
E01031370,1551,345,922,284
E01031374,1658,385,969,304
E01031338,1276,277,716,283
E01031339,1244,253,728,263
E01031340,1483,260,753,470
E01031365,1983,428,1110,445
E01031367,1355,253,702,400
E01031345,1614,255,970,389
E01031353,1326,263,748,315
E01031354,1331,221,713,397
E01031355,1802,397,1073,332
E01031359,1286,270,777,239
E01031347,1736,409,1067,260
E01031348,1719,403,1103,213
E01031366,1489,299,882,308
E01031371,1355,278,774,303
E01031372,1443,279,881,283
E01031373,1377,287,811,279
E01031375,1494,238,876,380
E01031356,2475,492,1473,510
E01031357,2255,384,1377,494
E01031364,1764,318,1089,357
E01031368,1288,248,688,352
E01031369,1341,180,726,435
E01031344,1397,231,875,291
E01031346,1531,285,839,407
E01031361,1444,281,850,313
E01031362,1257,246,752,259
E01031363,1544,207,783,554
E01031358,1546,278,907,361
E01031360,1563,300,928,335
E01031376,1292,179,635,478
E01031378,1404,225,780,399
E01031341,1401,242,898,261
E01031342,1695,249,806,640
E01031343,1390,222,795,373
E01031377,1756,292,1108,356
E01031379,1641,218,863,560
E01031390,1343,224,760,359
E01031391,1456,207,781,468
E01031392,1469,148,725,596
E01031465,1361,197,746,418
E01031386,1387,248,801,338
E01031387,1512,246,841,425
E01031425,1344,144,709,491
E01031426,1184,150,669,365
E01031393,2257,411,1207,639
E01031394,1780,355,1051,374
E01031395,1582,283,901,398
E01031396,2072,418,1196,458
E01031397,1859,238,1003,618
E01031466,1509,245,772,492
E01031427,1671,435,1002,234
E01031429,1431,439,792,200
E01031430,1327,219,787,321
E01031467,3285,819,1954,512
E01031468,3214,848,1934,432
E01031388,3404,730,2044,630
E01031389,2222,328,1117,777
E01031414,1456,255,763,438
E01031415,1495,199,677,619
E01031459,1885,350,1034,501
E01031470,1927,307,1205,415
E01031471,1808,416,1039,353
E01031472,1505,217,826,462
E01031473,1261,250,708,303
E01031407,1434,244,914,276
E01031408,2051,452,1238,361
E01031410,1332,213,791,328
E01031462,1553,322,878,353
E01031463,1640,286,890,464
E01031464,1575,240,742,593
E01031412,1329,138,589,602
E01031422,1484,94,567,823
E01031423,1784,196,880,708
E01031424,1324,107,514,703
E01031398,1474,232,802,440
E01031399,1562,175,697,690
E01031409,1378,285,830,263
E01031455,1521,225,777,519
E01031461,1630,163,741,726
E01031469,1606,278,844,484
E01031411,1344,95,482,767
E01031413,1473,129,610,734
E01031457,1685,170,649,866
E01031458,1754,111,640,1003
E01031460,1695,128,664,903
E01031400,1591,204,981,406
E01031428,1582,356,987,239
E01031454,2441,431,1565,445
E01031456,1789,230,1067,492
E01031401,3151,689,1869,593
E01031402,1689,298,926,465
E01031403,1503,254,920,329
E01031405,1393,210,803,380
E01031406,1428,315,848,265
E01031417,1647,343,898,406
E01031438,1556,278,873,405
E01031439,1896,188,808,900
E01031440,1493,120,679,694
E01031404,1183,249,790,144
E01031433,1437,193,870,374
E01031434,1689,257,1118,314
E01031441,1781,340,1082,359
E01031442,1762,363,1122,277
E01031416,1515,199,768,548
E01031418,2011,343,962,706
E01031419,1562,196,809,557
E01031420,1623,192,757,674
E01031421,3298,864,1753,681
E01031443,1385,275,891,219
E01031444,1762,316,1260,186
E01031450,1500,321,979,200
E01031451,1753,466,1008,279
E01031452,1632,250,958,424
E01031431,1482,120,1032,330
E01031432,2297,290,1651,356
E01031435,1823,277,1118,428
E01031436,2155,323,1493,339
E01031437,2139,292,1331,516
E01031453,1906,205,1206,495
E01031380,1566,135,618,813
E01031381,1699,178,785,736
E01031382,1721,185,750,786
E01031383,1569,119,640,810
E01031384,1762,251,804,707
E01031385,1562,254,758,550
E01031445,1521,123,637,761
E01031446,1310,201,644,465
E01031447,1613,238,765,610
E01031448,1583,216,756,611
E01031449,1729,311,1036,382
E01031502,1550,416,879,255
E01031503,1636,370,907,359
E01031504,2093,403,1160,530
E01031519,1407,246,808,353
E01031517,2005,387,1065,553
E01031518,1600,295,877,428
E01031544,1261,238,725,298
E01031545,1221,198,689,334
E01031508,2006,315,1124,567
E01031520,1386,227,753,406
E01031521,1154,195,659,300
E01031536,1217,202,660,355
E01031497,1534,231,833,470
E01031511,1467,248,692,527
E01031512,1980,393,1121,466
E01032717,2925,473,1498,954
E01031478,1101,170,588,343
E01031479,1007,148,483,376
E01031498,1051,175,603,273
E01031514,1762,235,879,648
E01031515,1608,352,870,386
E01031516,1447,210,804,433
E01031477,2191,348,1204,639
E01031485,1505,222,724,559
E01031487,1496,221,692,583
E01031509,2875,529,1627,719
E01031506,1291,202,673,416
E01031507,1186,171,656,359
E01031531,1291,241,651,399
E01031533,1296,246,752,298
E01031543,2287,448,1288,551
E01031482,1517,311,979,227
E01031483,2419,413,1713,293
E01031486,1849,134,1187,528
E01031488,3018,570,1939,509
E01031494,1656,367,925,364
E01031495,1521,200,823,498
E01031475,1860,344,997,519
E01031476,1492,201,732,559
E01031532,1749,400,1160,189
E01031534,1783,218,904,661
E01031535,1910,375,947,588
E01031480,1383,252,936,195
E01031481,1545,202,1013,330
E01031484,1979,248,1203,528
E01031490,2554,177,1649,728
E01031491,1885,243,1196,446
E01031474,1389,226,788,375
E01031493,1778,307,908,563
E01031496,3110,493,1996,621
E01031505,2557,469,1432,656
E01031489,1480,237,857,386
E01031492,1608,273,1008,327
E01031513,3260,654,1928,678
E01031530,1300,229,787,284
E01031538,1575,378,903,294
E01031539,1583,372,1019,192
E01031499,1648,252,935,461
E01031500,2512,473,1235,804
E01031501,1351,160,642,549
E01031529,1241,179,668,394
E01031540,1258,156,588,514
E01031541,1301,147,584,570
E01031542,1933,311,968,654
E01031522,1879,302,986,591
E01031523,1577,221,809,547
E01031524,1685,221,755,709
E01031525,1379,194,677,508
E01031526,1214,146,548,520
E01031527,1516,143,757,616
E01031528,1418,164,732,522
E01031573,1789,463,1141,185
E01031574,1818,458,1155,205
E01031575,1845,355,1289,201
